rank	first element is Word	second element is Example sentence		Number of repetition						
6	it strikes a chord	When we see images of little children burdened with the pain of this fucking awful disease, it strikes a chord.		0						
6	Hypovolemic shock			0						
6	squalid	the squalid, overcrowded prison		0						
6	cat call	In one instance her inadequate performance provoked catcalls and derision.		0						
6	heckler	he was adept at dealing with hecklers		0						
6	charm school	not all of the bar staff appear to have benefited from a stint at charm school		0						
6	riff	a brilliant guitar riff		0						
6	riff	the other horns would be riffing behind him		0						
6	monolith	independent voices have been crowded out by the media monoliths		0						
6	relevant	the candidate's experience is relevant to the job		0						
6	vehemently	It vehemently denies any involvement in Kim's death.		0						
6	vehemently opposed			0						
6	dashed	head dashed in		0						
6	off the chain			0						
6	chores	Girls as young as four and five are expected to help with household chores and to care for their younger siblings.		0						
6	tantrum	he has temper tantrums if he can't get his own way		0						
6	spared	and another's lives were spared		0						
6	muzzle	But it's not just me that is being assassinated, it's the presidential election. The voices of millions of votes have been muzzled		0						
6	summon	the pope summoned Anselm to Rome		0						
6	septum.	her nose piercing punctured her septum.		0						
6	pitted	The meeting comes at the end of a week in which Trump's public skepticism over evidence Russia interfered in the US political process has pitted him against the country's top spy chiefs and high profile lawmakers in both parties.		0						
6	thrilled	his kiss thrilled and excited her		0						
6	thrilled	the shock of alarm thrilled through her		0						
6	meddled	The US intelligence chief has promised to explain why Russia allegedly meddled in the US presidential election.		0						
6	Disparagement	'Disparagement' of intel agents cause for worry		0						
6	dismissive	"During the hearing -- a rare show of bipartisan unity in Washington -- Democratic Senator Richard Blumenthal said Trump's ""demeaning and dismissive"" comments about intelligence officers were unacceptable, and praised their service."		0						
6	intercepted	Included in that new information were intercepted conversations of Russian officials expressing happiness at Trump's win.		0						
6	mosachism	this idiotic mosachism has to be dropped.		0						
6	feud	the feud between Donald Trump and the US intelligence community will play out behind closed doors Friday when the President-elect is given a briefing on allegations of election-related hacking by Russia.		0						
6	allegations	the feud between Donald Trump and the US intelligence community will play out behind closed doors Friday when the President-elect is given a briefing on allegations of election-related hacking by Russia.		0						
6	skepticism	The meeting comes at the end of a week in which Trump's public skepticism over evidence Russia interfered in the US political process has pitted him against the country's top spy chiefs and high profile lawmakers in both parties.		0						
6	interfered	The meeting comes at the end of a week in which Trump's public skepticism over evidence Russia interfered in the US political process has pitted him against the country's top spy chiefs and high profile lawmakers in both parties.		0						
6	ditch	a ditch of money		0						
6	tampered	"police regularly visit households to check whether the settings have been tampered with, according to Barbara Kemick, author of ""Nothing to Envy"		0						
6	her audacity came in handy during our most recent emergency			0						
6	"I don't make those decisions,"" Long says. ""I convey the information to the cockpit and the chief flight attendant, and they make the decision about whether or not we're going to land and get someone off the plane."			0						
6	it strikes a chord	When we see images of little children burdened with the pain of this fucking awful disease, it strikes a chord.		0						
6	Hypovolemic shock			0						
6	squalid	the squalid, overcrowded prison		0						
6	cat call	In one instance her inadequate performance provoked catcalls and derision.		0						
6	heckler	he was adept at dealing with hecklers		0						
6	charm school	not all of the bar staff appear to have benefited from a stint at charm school		0						
6	riff	a brilliant guitar riff		0						
6	riff	the other horns would be riffing behind him		0						
6	monolith	independent voices have been crowded out by the media monoliths		0						
6	relevant	the candidate's experience is relevant to the job		0						
6	vehemently	It vehemently denies any involvement in Kim's death.		0						
6	vehemently opposed			0						
6	dashed	head dashed in		0						
6	off the chain			0						
6	chores	Girls as young as four and five are expected to help with household chores and to care for their younger siblings.		0						
6	tantrum	he has temper tantrums if he can't get his own way		0						
6	spared	and another's lives were spared		0						
6	muzzle	But it's not just me that is being assassinated, it's the presidential election. The voices of millions of votes have been muzzled		0						
6	summon	the pope summoned Anselm to Rome		0						
6	septum.	her nose piercing punctured her septum.		0						
6	pitted	The meeting comes at the end of a week in which Trump's public skepticism over evidence Russia interfered in the US political process has pitted him against the country's top spy chiefs and high profile lawmakers in both parties.		0						
6	thrilled	his kiss thrilled and excited her		0						
6	thrilled	the shock of alarm thrilled through her		0						
6	meddled	The US intelligence chief has promised to explain why Russia allegedly meddled in the US presidential election.		0						
6	Disparagement	'Disparagement' of intel agents cause for worry		0						
6	dismissive	"During the hearing -- a rare show of bipartisan unity in Washington -- Democratic Senator Richard Blumenthal said Trump's ""demeaning and dismissive"" comments about intelligence officers were unacceptable, and praised their service."		0						
6	intercepted	Included in that new information were intercepted conversations of Russian officials expressing happiness at Trump's win.		0						
6	mosachism	this idiotic mosachism has to be dropped.		0						
6	feud	the feud between Donald Trump and the US intelligence community will play out behind closed doors Friday when the President-elect is given a briefing on allegations of election-related hacking by Russia.		0						
6	allegations	the feud between Donald Trump and the US intelligence community will play out behind closed doors Friday when the President-elect is given a briefing on allegations of election-related hacking by Russia.		0						
6	skepticism	The meeting comes at the end of a week in which Trump's public skepticism over evidence Russia interfered in the US political process has pitted him against the country's top spy chiefs and high profile lawmakers in both parties.		0						
6	interfered	The meeting comes at the end of a week in which Trump's public skepticism over evidence Russia interfered in the US political process has pitted him against the country's top spy chiefs and high profile lawmakers in both parties.		0						
6	ditch	a ditch of money		0						
6	tampered	"police regularly visit households to check whether the settings have been tampered with, according to Barbara Kemick, author of ""Nothing to Envy"		0						
6	staggering	he staggered to his feet, swaying a little. I was staggered to find it was six o'clock		0						
6	Dork	They were a group made up mostly of men who were all nerds and geeks and dorks in high school who went on to become brilliant and funny and irresistible in college.		0						
6	Stultification	Burrows is trapped not only in a ludicrous wig but also in a cumbersome accent and stultifying Brahmin cadence		0						
6	Proclamation	Eisenhower signed a proclamation admitting Alaska to the Union		0						
6	Allegiance	those wishing to receive citizenship must swear allegiance to the republic		0						
6	Quilt	Why would someone go to the trouble of quilting a piece already quilted		0						
6	Hyancinth	The miracle of spring flowers such as tulips, daffodils, hyacinths and lilies is even more astounding when one realizes how they reach the bloom stage each year.		0						
6	Diligent	many caves are located only after a diligent search		0						
6	Industrious	He struck me as being particularly hardworking, energetic and industrious 		0						
